resources,cache_last_updated,cache_url,created,description,format,hash,id,last_modified,mimetype,mimetype_inner,name,package_id,position,resource_type,revision_id,size,state,url,url_type,webstore_last_updated,webstore_url,dpe:portal,dpe:tags,dpe:themes,dpe:organisation.approval_status,dpe:organisation.created,dpe:organisation.description,dpe:organisation.id,dpe:organisation.image_url,dpe:organisation.is_organization,dpe:organisation.name,dpe:organisation.revision_id,dpe:organisation.state,dpe:organisation.title,dpe:organisation.type
0,,,2019-09-02T10:55:54.834Z,,pdf,0bc0ec063d14eafb9431f596c8c08d32,efa68517-db0b-4ccb-826e-a2c753e2036a,,,,May 2019 - YouGov / GLA poll results,c9aabd15-c36e-40d0-a149-5df9c3501612,8,,,405946,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/gla-poll-results-2019/2019-09-02T10%3A55%3A53/May%202019%20-%20YouGov%20GLA%20poll%20results.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Transparency', 'id': '1d5852ed-0315-4472-927a-3d1bdaa4f630', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A24.62/transparency.png', 'name': 'transparency', 'title': 'Transparency'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
1,,,2020-01-19T11:12:26.367Z,"<p>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">Buildings which are used for archives which are open to the public. There may be more than one archive held on each site.</span>
</p>
<p>
<strong style=\""background-color: rgb(247, 247, 247); color: rgb(238, 38, 109);\"">How data was compiled: </strong>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">GLA led research based on National Archives dataset.</span>
</p>
<p>
<strong style=\""background-color: rgb(247, 247, 247); color: rgb(238, 38, 109);\"">Credit for use: </strong>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">National Archives and GLA.</span>
</p>",csv,bbc012e9c179ff315fbe45ff903cdbc6,21358543-f1cd-42e1-9af4-17ab2c0bb010,,,,Archives (data captured in January 2019),73db1f23-e7cd-4e90-aeb2-c9402296a307,37,,,141771,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/cultural-infrastructure-map/2020-01-19T11%3A12%3A25/Archives.csv,,,,data.london.gov.uk,"culture, theatre, music , galleries, museums, pubs, communiy centres, dance, art, arts","[{'description': '', 'display_name': 'Business and Economy', 'id': '737cc837-707b-42a9-8f58-c70f35a8eb28', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A08.31/business-and-economy.png', 'name': 'business-and-economy', 'title': 'Business and Economy'}, {'description': ""Datasets about London's facilities including museums and galleries."", 'display_name': 'Art and Culture', 'id': '66a92e74-4325-4b62-a0eb-5d851d43a90b', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A00.37/art-and-culture.png', 'name': 'art-and-culture', 'title': 'Art and Culture'}, {'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
2,,,2019-03-27T20:08:35.784Z,,pdf,db9c0b345e05f02938f42b6740158671,390316a8-cb08-4f2b-9f8a-90de0c6292f8,,,,Pentavia Mill Hill_Design and Access Statement_Part20.pdf,51f40cf8-4b52-4923-bd1b-cc4832af0026,54,,,19592925,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents/2019-03-27T20%3A08%3A25/Pentavia%20Mill%20Hill_Design%20and%20Access%20Statement_Part20.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
3,,,2019-03-27T19:49:28.854Z,,pdf,7572b814e97804c8431b0d6b35c1614e,28f9b4e7-c0b9-463e-9b9f-21ca94b1b96b,,,,A_44032_MH - A10-LG-01 - GA_LEVEL LG_OVERALL PLAN.pdf,51f40cf8-4b52-4923-bd1b-cc4832af0026,147,,,1926859,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents/2019-03-27T19%3A49%3A26/A_44032_MH%20-%20A10-LG-01%20-%20GA_LEVEL%20LG_OVERALL%20PLAN.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
4,,,2018-09-10T10:43:47.890Z,,spreadsheet,08f6ef14fa935d1f2523bcb5adb5ae3a,f0ef5155-e75a-4f85-aed3-0bec66d9ec32,,,,Fire Facts - fatal fires in London 2017,88294579-946d-4692-931f-34fe430012f9,3,,,667667,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/fire-facts--fire-deaths-in-greater-london/2018-09-10T10%3A43%3A44/Fatal%20fires%20in%20Greater%20London%202017%20Data%20v1%20PUBLISHED.xlsx,,,,data.london.gov.uk,"demography, fire, fire death, gender, ethnicity","[{'description': '', 'display_name': 'Crime and Community Safety', 'id': '45f26a78-96f6-44e0-846f-701c623f0efd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A48.01/crime-and-community-safety.png', 'name': 'crime-and-community-safety', 'title': 'Crime and Community Safety'}, {'description': '', 'display_name': 'Transparency', 'id': '1d5852ed-0315-4472-927a-3d1bdaa4f630', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A24.62/transparency.png', 'name': 'transparency', 'title': 'Transparency'}]",approved,2014-10-01T12:57:29.029Z,,ed9dfa59-ec53-443f-a843-15b216b65288,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A52%3A26.80/lfb.png,True,lfb,,active,London Fire Brigade,organization
5,,,2019-03-27T19:59:00.583Z,,pdf,5399a0b7c9d798a3236a597ab1751553,798c9662-0e94-4f30-a3d8-36f1bbc1d2aa,,,,A_44032_MH - A50-00-13 - TYPICAL 2 BEDROOM APARTMENT_A.02.pdf,51f40cf8-4b52-4923-bd1b-cc4832af0026,101,,,573670,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents/2019-03-27T19%3A58%3A52/A_44032_MH%20-%20A50-00-13%20-%20TYPICAL%202%20BEDROOM%20APARTMENT_A.02.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
6,,,2019-03-27T19:57:29.634Z,,pdf,f82bc314fe5993b47237d31ad87b732d,aff4768f-803b-42ab-9586-2c5964738625,,,,A_44032_MH - A50-00-08 - TYPICAL 1 BEDROOM APARTMENT_B.05.pdf,51f40cf8-4b52-4923-bd1b-cc4832af0026,111,,,409459,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents/2019-03-27T19%3A57%3A24/A_44032_MH%20-%20A50-00-08%20-%20TYPICAL%201%20BEDROOM%20APARTMENT_B.05.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
7,,,2019-07-18T10:26:00.732Z,,csv,4118ac84f87fcf4cbc4f8125a6f58d80,45680f06-f50d-4baa-915b-47792c936c32,,,,LFB Purchase Orders £5k to £10k FY2019-20 Q1,0801f885-03e0-4a2d-9dbd-cf46f4050ee5,2,,,150214,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/lfepa-procurement-information-purchase-order-f5-000-to-f10-000/2019-07-18T10%3A25%3A58/LFB%20Purchase%20Orders%20%C2%A35k%20to%20%C2%A310k%20FY%202019-20%20Q1.csv,,,,data.london.gov.uk,"LFB London Fire Brigade, LFB, contracts, tenders, spending","[{'description': '', 'display_name': 'Crime and Community Safety', 'id': '45f26a78-96f6-44e0-846f-701c623f0efd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A48.01/crime-and-community-safety.png', 'name': 'crime-and-community-safety', 'title': 'Crime and Community Safety'}, {'description': '', 'display_name': 'Transparency', 'id': '1d5852ed-0315-4472-927a-3d1bdaa4f630', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A24.62/transparency.png', 'name': 'transparency', 'title': 'Transparency'}]",approved,2014-10-01T12:57:29.029Z,,ed9dfa59-ec53-443f-a843-15b216b65288,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A52%3A26.80/lfb.png,True,lfb,,active,London Fire Brigade,organization
8,,,2020-01-14T13:06:51.606Z,<p>2005-2019</p>,spreadsheet,ec1345e14cdd03cbfb28b8d8e98e4dad,91c4436b-ae95-49d7-9d74-775e57830b0b,,,,children-looked-after,98174f57-886e-40c0-9e13-e73fdaa052c6,0,,,28927,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/children-looked-after-borough/2020-01-14T13%3A06%3A22/children-looked-after.xlsx,,,,data.london.gov.uk,"islington, hounslow, hackney, city-of-london, harrow, lambeth, kensington-and-chelsea, westminster, ealing, barnet, bexley, croydon, camden, greenwich, newham, haringey, hillingdon, brent, barking-and-dagenham, bromley, lac, southwark, children, enfield, redbridge, havering, social-services, lewisham, kingston-upon-thames, tower-hamlets, wandsworth, waltham-forest, hammersmith-and-fulham, richmond-upon-thames, merton, sutton, looked-after","[{'description': '', 'display_name': 'Education', 'id': '2c4d2275-67a6-401b-89ca-4ed62556b901', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A02.46/education.png', 'name': 'education', 'title': 'Education'}]",approved,2014-10-01T12:57:25.855Z,"The Department for Education (DfE) is a department of the UK government responsible for issues affecting people in England up to the age of 19, including child protection and education. DfE is directly responsible for state schools in England.",f1e2d47c-3d52-4413-b376-ba05a0d00bfa,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A47%3A15.18/department-for-education.png,True,department-for-education,,active,Department for Education,organization
9,,,2017-01-05T12:31:51.830Z,,zip,48878cc99ac4b60131fa68f99548b28e-17,37fc6cd6-f57b-433e-b9dd-a2a3f835e117,,,,LFB Mobilisation data from January 2013 to December 2016  ,c9a13535-f519-4a34-be92-99f5e90ff945,1,,,86074324,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/london-fire-brigade-mobilisation-records/2017-01-05T12%3A31%3A18/LFB%20Mobilisation%20data%20from%20Jan%202013.zip,,,,data.london.gov.uk,"emergency-response, fire-brigade, incidents, fire, lfepa, lfb","[{'description': '', 'display_name': 'Crime and Community Safety', 'id': '45f26a78-96f6-44e0-846f-701c623f0efd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A48.01/crime-and-community-safety.png', 'name': 'crime-and-community-safety', 'title': 'Crime and Community Safety'}]",approved,2014-10-01T12:57:29.029Z,,ed9dfa59-ec53-443f-a843-15b216b65288,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A52%3A26.80/lfb.png,True,lfb,,active,London Fire Brigade,organization
