themes,data.gov.ie,data.gov.uk,data.london.gov.uk
Agriculture,126.0,,
Arts,133.0,,
Crime,93.0,,
Economy,317.0,,
Education and Sport,218.0,,
Energy,95.0,,
Environment,3412.0,,
Government,5729.0,,
Health,1807.0,,
Housing,378.0,,
Science,87.0,,
Society,86.0,,
Towns,37.0,,
Transport,369.0,,
business-and-economy,,968.0,
crime-and-justice,,627.0,
defence,,188.0,
digital-services-performance,,8.0,
education,,1060.0,
environment,,6889.0,
government,,2440.0,
government-reference-data,,2.0,
government-spending,,1796.0,
health,,1783.0,
mapping,,2620.0,
society,,2306.0,
towns-and-cities,,6322.0,
transport,,830.0,
